,Star_name,Distance,Mass,Radius,Gravity,gravity,habitable_gravity
0,Sun,1.5813e-05,1.0,1.0,274.2691614595739,6.67e-11,True
1,Sirius,8.6,2.1,1.71,196.971799550325,4.790191853903766e-11,True
2,Canopus,310.0,15.0,71.0,0.8161153386021839,1.9847252529260068e-13,False
3,Alpha Centauri,4.4,1.1,1.2,209.51116500384123,5.095138888888889e-11,True
4,Arcturus,37.0,1.1,26.0,0.4462959727892475,1.0853550295857989e-13,False
5,Vega,25.0,2.2,2.7,82.76984296448046,2.0128943758573386e-11,False
6,Capella,43.0,2.6,12.0,4.952082081908975,1.2043055555555556e-12,False
7,Rigel,860.0,23.0,78.9,1.01332978543217,2.4643345365055955e-13,False
8,Procyon,11.4,1.5,1.9,113.9622554541166,2.7714681440443217e-11,False
9,Betelgeuse,640.0,20.0,950.0,0.0060779869575528,1.4781163434903047e-15,False
10,Achernar,144.0,6.7,9.3,21.2464259657665,5.166955717423979e-12,False
11,Hadar,390.0,10.5,8.6,38.937617567949246,9.469307733910222e-12,False
12,Altair,17.0,1.8,1.8,152.37175636642996,3.705555555555555e-11,True
13,Acrux,320.0,18.0,8.9,62.32603088337749,1.515717712410049e-11,False
14,Aldebaran,65.0,1.5,44.0,0.21250193294905,5.1678719008264464e-14,False
15,Antares,600.0,12.0,680.0,0.007117711802584,1.7309688581314879e-15,False
16,Spica,260.0,11.43,7.47,56.18003500809,1.3662521572232706e-11,False
17,Pollux,34.0,1.9,8.8,6.729227876719916,1.636492768595041e-12,False
18,Fomalhaut,25.0,1.9,1.8,160.8368539423427,3.9114197530864194e-11,True
19,Deneb,2600.0,19.0,203.0,0.126455727334609,3.075299085151302e-14,False
20,Mimosa,350.0,16.0,8.4,62.19255361895101,1.512471655328798e-11,False
21,Regulus,77.0,3.8,3.1,108.45190567600218,2.637460978147762e-11,False
22,Adhara,430.0,12.5,14.0,17.491655705329972,4.2538265306122454e-12,False
23,Shaula,700.0,14.5,8.8,51.354633796020416,1.2489023760330575e-11,False
24,Castor,52.0,2.8,2.4,133.3252868206262,3.242361111111111e-11,False
25,Gacrux,88.0,1.5,84.0,0.0583055190177665,1.4179421768707484e-14,False
26,Bellatrix,240.0,8.6,5.8,70.11637302474244,1.705172413793103e-11,False
27,Elnath,130.0,5.0,4.2,77.74069202368877,1.8905895691609977e-11,False
28,Miaplacidus,110.0,3.5,6.8,20.75999275753696,5.048659169550173e-12,False
29,Alnilam,2000.0,32.0,42.0,4.975404289516081,1.2099773242630385e-12,False
30,Gamma Velorum,1100.0,9.0,6.0,68.56729036489348,1.6675e-11,False
31,Alnair,101.0,4.0,3.4,94.90282403445464,2.3079584775086508e-11,False
32,Alioth,81.0,2.9,4.2,45.08960137373948,1.0965419501133786e-11,False
33,Alnitak,1050.0,33.0,20.0,22.62720582041485,5.5027500000000006e-12,False
34,Dubhe,120.0,4.25,30.0,1.2951599291146547,3.1497222222222223e-13,False
35,Mirfak,590.0,8.5,68.0,0.5041712526830403,1.2261029411764706e-13,False
36,Wezen,1600.0,17.0,200.0,0.1165643936203189,2.83475e-14,False
37,Sargas,270.0,5.7,26.0,2.3126245862715558,5.624112426035503e-13,False
38,Kaus Australis,140.0,3.5,6.8,20.75999275753696,5.048659169550173e-12,False
39,Avior,630.0,9.0,130.0,0.1460605001855719,3.55207100591716e-14,False
40,Alkaid,104.0,6.1,3.4,144.72680665254333,3.5196366782006923e-11,False
41,Menkalinan,81.0,2.39,2.77,85.43097080483021,2.077610812078875e-11,False
42,Atria,390.0,7.0,92.0,0.2268294104698744,5.5163043478260874e-14,False
43,Alhena,109.0,2.8,3.3,70.51915997124031,1.7149678604224058e-11,False
44,Peacock,180.0,5.9,4.8,70.23385645015132,1.708029513888889e-11,False
45,Alsephina[2],80.0,2.4,2.9,78.26943965552645,1.903448275862069e-11,False
46,Mirzam,500.0,13.5,10.0,37.02633679704249,9.004500000000001e-12,False
47,Polaris,430.0,5.4,39.0,0.973736667903813,2.3680473372781065e-13,False
48,Alphard,180.0,3.0,50.0,0.3291229937514887,8.004e-14,False
49,Scheat,196.0,2.1,95.0,0.0638188630543053,1.5520221606648202e-14,False
50,Almaaz,653.0,15.0,140.0,0.2098998684639596,5.1045918367346937e-14,False
51,Rasalgethi,360.0,2.8,280.0,0.0097953271949847,2.382142857142857e-15,False
52,Tau Ceti,11.9,0.7829999999999999,0.893,269.2996711047934,6.549146089593189e-11,True
53,Delta Pavonis,19.92,0.991,1.22,182.61269753187165,4.440990325181403e-11,True
54,Ran,10.48,0.82,0.74,410.7025427261698,9.987947406866326e-11,False
55,V382 Carinae,8900.0,20.0,485.0,0.0233197288944265,5.671165904984589e-15,False
56,Eta Carinae,7500.0,100.0,881.0,0.0353366326650751,8.59357787881638e-15,False
57,Delta Cephei,887.0,4.5,44.5,0.6232603088337749,1.5157177124100493e-13,False
58,Mu Cephei,6000.0,19.2,972.0,0.0055737267989549,1.35548442818676e-15,False
59,Titawin,44.25,1.27,1.48,159.02202111653529,3.867284514243974e-11,True
60,Rho Cassiopeiae,8154.0,22.0,800.0,0.0094280024251728,2.2928125e-15,False
61,P Cygni,5545.0,30.0,76.0,1.4245281931764575,3.4643351800554016e-13,False
62,VV Cephei,4900.0,18.2,750.0,0.0088741310907808,2.1581155555555557e-15,False
63,61 Cygni,11.41,0.7,0.665,434.1419255394917,1.0557973882073604e-10,False
64,R Doradus,178.0,0.8,298.0,0.0024707820499939,6.008738345119589e-16,False
65,Polaris Australis,281.0,1.59,3.74,31.17675417660804,7.58192970917098e-12,False
66,R Coronae Borealis,4566.0,0.85,85.0,0.0322669601717145,7.847058823529411e-15,False
67,54 Piscium,36.1,0.76,0.94,235.9037604224493,5.7369850611136264e-11,True
68,Mira,300.0,1.2,370.0,0.0024041124452263,5.846603360116873e-16,False
69,RW Cephei,14000.0,13.9,1158.0,0.0028429856016179,6.913906711887865e-16,False
70,Lacaille 8760,12.87,0.6,0.51,632.685493563031,1.538638985005767e-10,False
71,V838 Monocerotis,19896.0,0.5,450.0,0.000677207806073,1.6469135802469135e-16,False
72,HD 140283,190.0,2.0,1.4,279.8664912852796,6.806122448979593e-11,True
73,II Pegasi,130.0,0.8,3.4,18.98056480689093,4.615916955017302e-12,False
74,VY Canis Majoris,3900.0,17.0,1420.0,0.0023123267927061,5.623388216623686e-16,False
75,Pistol Star,25000.0,100.0,320.0,0.2678409779878652,6.513671875e-14,False
76,S Doradus,169000.0,24.0,380.0,0.0455849021816466,1.1085872576177286e-14,False
77,UY Scuti,5100.0,7.0,755.0,0.0033680700499399,8.190868821542915e-16,False
78,Barnard's Star,5.98,0.14,0.2,959.9420651085088,2.3344999999999995e-10,False
79,Luhman 16,6.52,0.04,0.02,27426.9161459574,6.6699999999999995e-09,False
80,Proxima Centauri,4.25,0.12,0.15,1462.7688611177275,3.5573333333333337e-10,False
81,KIC 8462852,1470.0,1.43,1.58,157.10819615734286,3.8207418682903375e-11,True
82,R136a1,163000.0,290.0,32.0,77.67388361648091,1.88896484375e-11,False
83,Melnick 42,163000.0,189.0,21.1,116.4324060911917,2.8315401720536375e-11,False
84,WR 102,18134.0,19.0,0.39,34261.104981800825,8.332018408941486e-09,False
85,VFTS 352,164000.0,57.48,14.47,75.29335961731135,1.8310724617192872e-11,False
86,YBP 1194,2772.0,1.01,0.99,282.6363157577489,6.873482297724721e-11,True
87,Gliese 1214,47.5,0.16,0.21,995.0808579032164,2.4199546485260774e-10,False
88,NML Cygni,5251.0,50.0,1900.0,0.0037987418484705,9.238227146814404e-16,False
89,VB 10,18.72,0.075,0.1,2057.0187109468043,5.002499999999999e-10,False
90,WOH G64,163000.0,20.0,1600.0,0.0021427278239029,5.2109375e-16,False
91,TRAPPIST-1,39.6,0.089,0.12,1695.1357895765336,4.1224305555555557e-10,False
92,2MASS J0523-1403,40.3,0.07,0.086,2595.841171196618,6.312871822606816e-10,False
93,WISE 0855−0714,7.27,0.003,0.086,111.25033590842646,2.705516495402921e-11,False
94,Icarus,14400000000.0,33.0,0.2,226272.0582041485,5.5027499999999994e-08,False
95,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173537,1214.200056936461,2.952834484441266e-10,False
96,2MASS J00040288-6410358,192.0,0.018137172,0.16750369,177.29553270309606,4.311681258062092e-11,True
97,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,1648.5172507306947,4.0090581106014855e-10,False
98,2MASS J00274197+0503417,236.0,0.0295922279999999,0.14797872,370.6432628229708,9.01373872976819e-11,False
99,2MASSW J0030300-145033,87.2,0.051547752,0.10070774,1393.9943359838123,3.390079355451891e-10,False
100,2MASS J00332386-1521309 [de],131.0,0.027683052,0.14695109,351.5971318717637,8.550552519665354e-11,False
101,2MASS J00345157+0523050,31.0,0.040092696,0.09659722,1178.4549471797168,2.8659053230260015e-10,False
102,2MASS 0036+1821,28.6,0.040092696,0.09659722,1178.4549471797168,2.8659053230260015e-10,False
103,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.2787267524544,5.284039589892003e-11,True
104,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.1335919,176.04104671648304,4.2811731926048596e-11,True
105,2MASS J00501994-3322402 [de],34.0,0.03818352,0.09659722,1122.3380449330632,2.729433640977144e-10,False
106,2MASS J00584253-0651239 [de],96.0,0.027683052,0.14695109,351.5971318717637,8.550552519665354e-11,False
107,2MASSI J0103320+193536,70.0,0.049638576,0.10070774,1342.3649161325598,3.264520860805524e-10,False
108,SDSSp J010752.33+004156.1 [de],51.0,0.049638576,0.10070774,1342.3649161325598,3.264520860805524e-10,False
109,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606,188.93802326300383,4.594817034688698e-11,True
110,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843,191.292368446984,4.6520727695062e-11,True
111,SDSS J015141.69+124429.6,70.0,0.0448656359999999,0.09968011,1238.4366334263516,3.0117758412920545e-10,False
112,SDSS J020742.48+000056.2 [de],111.0,0.0448656359999999,0.09968011,1238.4366334263516,3.0117758412920545e-10,False
113,2MASS J02103857-3015313,101.0,0.01431882,0.15722739,158.86484308965376,3.863462074150014e-11,True
114,2MASS J02340093-6442068,155.0,0.01909176,0.16647606,188.93802326300383,4.594817034688698e-11,True
115,2MASS J02411151-0326587 [de],152.0,0.025773876,0.14489583,336.7014134799189,8.188300922931432e-11,True
116,2MASS J02431371−2453298,35.0,0.031501404,0.10173537,834.7625391438166,2.0300737080533705e-10,False
117,LP 771-21,53.0,0.074457864,0.11098404,1657.9311541328584,4.0319519479393335e-10,False
118,Teegarden's star,12.578,0.07636704,0.13050901,1229.7078510792417,2.990548161903905e-10,False
119,2MASS J02535980+3206373,184.0,0.06204822,0.1952497,446.40140770557866,1.0856114386141364e-10,False
120,WISE J0254+0223,24.0,0.06204822,0.1952497,446.40140770557866,1.0856114386141364e-10,False
121,DEN 0255-4700,16.2,0.07636704,0.09968011,2107.9772483852794,5.12642696390138e-10,False
122,2MASS J03185403-3421292 [de],45.0,0.046774812,0.09968011,1291.1360646359838,3.1399365153895955e-10,False
123,2MASS J03205965+1854233,47.0,0.084003744,0.11817745,1649.7053854867902,4.011947556422148e-10,False
124,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,206.9336226190817,5.032455182070176e-11,True
125,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762485,1236.1885136462176,3.006308599239147e-10,False
126,2MASS J03264225-2102057 [de],80.0,0.017182584,0.1335919,264.0615700747245,6.421759788907289e-11,True
127,2MASS J03284265+2302051 [de],98.0,0.051547752,0.10070774,1393.9943359838123,3.390079355451891e-10,False
128,2MASS J03341218-4953322,27.0,0.069684924,0.10687352,1673.3068242582378,4.069344310679098e-10,False
129,LP 944-20,20.9,0.069684924,0.14695109,885.0548491944395,2.1523804618467954e-10,False
130,2MASP J0345432+254023,88.0,0.070639512,0.10790115,1664.073567827919,4.046889791890883e-10,False
131,Teide 1,380.0,0.05250234,0.38844414,95.43298113794582,2.320851461398884e-11,False
132,2MASS J03510004-0052452,48.0,0.097367976,0.13050901,1567.8775101260333,3.8129489064274793e-10,False
133,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.5781383444831,6.92070582290922e-11,True
134,2MASS J04151954−0935066,18.6,0.02863764,0.09762485,824.1256757641451,2.004205732826098e-10,False
135,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167,1669.384557701969,4.059805681621757e-10,False
136,2MASS J04351612-1606574,34.0,0.0954588,0.12948138,1561.6306004391138,3.7977569368345366e-10,False
137,2MASS J04362788-4114465,142.0,0.037228932,0.20244311,249.14464404913377,6.058992439996442e-11,True
138,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968011,1264.786349031168,3.0758561783408283e-10,False
139,2MASS J04433764+0002040,82.0,0.021000936,0.18291814,172.14803783504922,4.186498424574146e-11,True
140,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763,1586.7166344045677,3.858764104267848e-10,False
141,2MASS J04510093-3402150 [de],69.0,0.000992772,7.398936,0.0049737958672025,1.2095861692103018e-15,False
142,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763,1586.7166344045677,3.858764104267848e-10,False
143,2MASS J05012406-0010452 [de],64.0,0.020046348,0.14181294,273.3886765721481,6.648587333085945e-11,True
144,2MASS J05160945-0445499 [de],73.0,0.0448656359999999,0.09968011,1238.4366334263516,3.0117758412920545e-10,False
